"feature","environmental_variable","correlation","p_value","p_adjust","significance"
"Anaerolinea","pH",0.295652173913043,0.160717893362243,0.205718903503671,""
"Anaerolinea","EC",-0.331304347826087,0.113775493474803,0.163021602590762,""
"Anaerolinea","TOC",0.32695652173913,0.118887084858405,0.169083854020843,""
"Anaerolinea","TN",0.394782608695652,0.0562411351652387,0.0877910402579336,""
"Anaerolinea","TP",-0.289565217391304,0.16992018695251,0.216057456257496,""
"Anaerolinea","SO4",-0.361739130434783,0.0824002416094226,0.124573593614245,""
"Anaerolinea","NO3",0.0382608695652174,0.8591175903219,0.877396687988323,""
"Anaerolinea","Sb_total",-0.446086956521739,0.0288944427657097,0.0528355524858692,""
"Anaerolinea","Sb_III",-0.415652173913043,0.0433815483803307,0.0711902332395171,""
"Anaerolinea","Sb_V",-0.463478260869565,0.0225449728521832,0.0441697427308079,"*"
"Anaerolinea","As",-0.425217391304348,0.0383202247287696,0.0645393258589804,""
"Anaerolinea","Cu",-0.413043478260869,0.0448491538998177,0.0723616600736554,""
"Anaerolinea","Zn",-0.39304347826087,0.0574330885552701,0.0889286532468698,""
"Anaerolinea","Cd",-0.427826086956522,0.0370242279385606,0.0634701050375324,""
"Anaerolinea","Fe",-0.356521739130435,0.087253104583099,0.130879656874648,""
"Anaerolinea","Mn",-0.33304347826087,0.111776576985872,0.161361675047275,""
"Flavobacterium","pH",0.613913043478261,0.00141803038426151,0.00432161640917793,"**"
"Flavobacterium","EC",-0.601739130434782,0.00186640113389722,0.00551306181089639,"**"
"Flavobacterium","TOC",0.581739130434783,0.00286474109090356,0.00763930957574284,"**"
"Flavobacterium","TN",0.630434782608696,0.000959005959901716,0.0032303358649321,"**"
"Flavobacterium","TP",-0.52,0.00919771980726428,0.0205344442208691,"*"
"Flavobacterium","SO4",-0.75304347826087,2.17065249167844e-05,0.000391004674248291,"***"
"Flavobacterium","NO3",0.465217391304348,0.0219776545641716,0.0435021616115563,"*"
"Flavobacterium","Sb_total",-0.763478260869565,1.42392030186242e-05,0.000391004674248291,"***"
"Flavobacterium","Sb_III",-0.764347826086957,1.37345095748523e-05,0.000391004674248291,"***"
"Flavobacterium","Sb_V",-0.768695652173913,1.1440722647822e-05,0.000391004674248291,"***"
"Flavobacterium","As",-0.729565217391304,5.22368998406155e-05,0.000417381595326926,"***"
"Flavobacterium","Cu",-0.693913043478261,0.000169350557355243,0.000793056268590408,"***"
"Flavobacterium","Zn",-0.775652173913043,8.47031054713836e-06,0.000391004674248291,"***"
"Flavobacterium","Cd",-0.753913043478261,2.09735476355907e-05,0.000391004674248291,"***"
"Flavobacterium","Fe",-0.646086956521739,0.000648351936992057,0.00230525133152731,"**"
"Flavobacterium","Mn",-0.683478260869565,0.000231753965681968,0.00105944670026043,"**"
"Acidipila","pH",0.103478260869565,0.630395070849354,0.661398107120633,""
"Acidipila","EC",-0.14,0.514098690929043,0.570560396869227,""
"Acidipila","TOC",0.12,0.576489872088946,0.621831772140886,""
"Acidipila","TN",0.34,0.104037966698194,0.15132795156101,""
"Acidipila","TP",-0.171304347826087,0.423503136784405,0.489834953389191,""
"Acidipila","SO4",-0.304347826086956,0.148187708586284,0.194876986634018,""
"Acidipila","NO3",0.0234782608695652,0.913286577927015,0.922900120852562,""
"Acidipila","Sb_total",-0.299130434782609,0.155619554462795,0.201884827411193,""
"Acidipila","Sb_III",-0.297391304347826,0.158154260595396,0.20379609419004,""
"Acidipila","Sb_V",-0.315652173913043,0.132957212539126,0.184983947880524,""
"Acidipila","As",-0.3,0.154363009136011,0.201616991524586,""
"Acidipila","Cu",-0.275652173913043,0.192316976083001,0.235190187311696,""
"Acidipila","Zn",-0.309565217391304,0.141011467113105,0.18801528948414,""
"Acidipila","Cd",-0.284347826086956,0.178094980953122,0.223491740803918,""
"Acidipila","Fe",-0.340869565217391,0.103099206111225,0.151107233384391,""
"Acidipila","Mn",-0.250434782608696,0.237879022769713,0.281930693652994,""
"Gemmatimonas","pH",0.129565217391304,0.546239269258583,0.592530732755073,""
"Gemmatimonas","EC",-0.167826086956522,0.433116552649435,0.497954359932285,""
"Gemmatimonas","TOC",0.2,0.348755732723546,0.405824852623762,""
"Gemmatimonas","TN",0.229565217391304,0.280546879409368,0.330460127893243,""
"Gemmatimonas","TP",-0.162608695652174,0.447754151382415,0.508691106895998,""
"Gemmatimonas","SO4",-0.304347826086956,0.148187708586284,0.194876986634018,""
"Gemmatimonas","NO3",-0.0739130434782609,0.731419179392403,0.759094499693738,""
"Gemmatimonas","Sb_total",-0.310434782608696,0.139840015828961,0.18801528948414,""
"Gemmatimonas","Sb_III",-0.31304347826087,0.136367458417466,0.18701822868681,""
"Gemmatimonas","Sb_V",-0.324347826086956,0.12203323885388,0.172282219558419,""
"Gemmatimonas","As",-0.314782608695652,0.134087068399479,0.185213792321582,""
"Gemmatimonas","Cu",-0.276521739130435,0.19086089033898,0.234905711186437,""
"Gemmatimonas","Zn",-0.346086956521739,0.0975976618515826,0.145261636244216,""
"Gemmatimonas","Cd",-0.309565217391304,0.141011467113105,0.18801528948414,""
"Gemmatimonas","Fe",-0.286086956521739,0.175340393883469,0.221482602800171,""
"Gemmatimonas","Mn",-0.208695652173913,0.327753483767048,0.383711395629714,""
"Streptomyces","pH",0.574782608695652,0.00330433182503647,0.00845908947209339,"**"
"Streptomyces","EC",-0.614782608695652,0.00138988200335177,0.00432161640917793,"**"
"Streptomyces","TOC",0.58695652173913,0.00256852961683394,0.00704510980617309,"**"
"Streptomyces","TN",0.6,0.00193939287652592,0.00564187018625721,"**"
"Streptomyces","TP",-0.491304347826087,0.0147654334192559,0.0318535192864847,"*"
"Streptomyces","SO4",-0.72695652173913,5.72760520999301e-05,0.000417381595326926,"***"
"Streptomyces","NO3",0.422608695652174,0.0396517986761955,0.0656305633261167,""
"Streptomyces","Sb_total",-0.70695652173913,0.000112321490692244,0.000616085443553085,"***"
"Streptomyces","Sb_III",-0.730434782608696,5.06460462583124e-05,0.000417381595326926,"***"
"Streptomyces","Sb_V",-0.726086956521739,5.90481176374774e-05,0.000417381595326926,"***"
"Streptomyces","As",-0.737391304347826,3.93772288581867e-05,0.000417381595326926,"***"
"Streptomyces","Cu",-0.706086956521739,0.000115516020666203,0.000616085443553085,"***"
"Streptomyces","Zn",-0.743478260869565,3.13921535381213e-05,0.000391004674248291,"***"
"Streptomyces","Cd",-0.729565217391304,5.22368998406155e-05,0.000417381595326926,"***"
"Streptomyces","Fe",-0.64,0.000756876769797003,0.00264218799638227,"**"
"Streptomyces","Mn",-0.654782608695652,0.000516719100681468,0.00194529543785964,"**"
"Bacillus","pH",0.594782608695652,0.00217314398455249,0.00622751709006087,"**"
"Bacillus","EC",-0.625217391304348,0.00108764856228875,0.00353946650778712,"**"
"Bacillus","TOC",0.560869565217391,0.00435625973799247,0.0103259490085748,"*"
"Bacillus","TN",0.622608695652174,0.00115734233825986,0.00370349548243156,"**"
"Bacillus","TP",-0.536521739130435,0.00687453059333282,0.0157132127847607,"*"
"Bacillus","SO4",-0.73304347826087,4.61259882265861e-05,0.000417381595326926,"***"
"Bacillus","NO3",0.523478260869565,0.00866110192062403,0.019563900808939,"*"
"Bacillus","Sb_total",-0.742608695652174,3.24373831122718e-05,0.000391004674248291,"***"
"Bacillus","Sb_III",-0.749565217391304,2.48695503986748e-05,0.000391004674248291,"***"
"Bacillus","Sb_V",-0.740869565217391,3.46202055324008e-05,0.000391004674248291,"***"
"Bacillus","As",-0.716521739130435,8.19604045920872e-05,0.000505447570287912,"***"
"Bacillus","Cu",-0.715652173913043,8.43857663600932e-05,0.000505447570287912,"***"
"Bacillus","Zn",-0.740869565217391,3.46202055324008e-05,0.000391004674248291,"***"
"Bacillus","Cd",-0.740869565217391,3.46202055324008e-05,0.000391004674248291,"***"
"Bacillus","Fe",-0.673043478260869,0.000313295729995382,0.0013367284479803,"**"
"Bacillus","Mn",-0.679130434782609,0.000263151904425455,0.00117500385231831,"**"
"Clostridium","pH",-0.571304347826087,0.00354469875674886,0.00883872936747768,"**"
"Clostridium","EC",0.587826086956522,0.00252178330308714,0.00701713614772075,"**"
"Clostridium","TOC",-0.565217391304348,0.00400090950022936,0.00972372941827894,"**"
"Clostridium","TN",-0.629565217391304,0.000979490126448203,0.00324245007375957,"**"
"Clostridium","TP",0.486086956521739,0.016026057350819,0.0338132199050246,"*"
"Clostridium","SO4",0.71304347826087,9.20434142121453e-05,0.000519774574374467,"***"
"Clostridium","NO3",-0.390434782608696,0.0592575096993988,0.0910195348982766,""
"Clostridium","Sb_total",0.746086956521739,2.84322625946709e-05,0.000391004674248291,"***"
"Clostridium","Sb_III",0.735652173913043,4.19645413049234e-05,0.000417381595326926,"***"
"Clostridium","Sb_V",0.753913043478261,2.09735476355907e-05,0.000391004674248291,"***"
"Clostridium","As",0.700869565217391,0.000136405472399863,0.000689206597388779,"***"
"Clostridium","Cu",0.698260869565217,0.000148036020747874,0.000710572899589795,"***"
"Clostridium","Zn",0.746086956521739,2.84322625946709e-05,0.000391004674248291,"***"
"Clostridium","Cd",0.756521739130435,1.89039434304064e-05,0.000391004674248291,"***"
"Clostridium","Fe",0.593913043478261,0.0022143435509877,0.00625226414396528,"**"
"Clostridium","Mn",0.663478260869565,0.000408867149124014,0.00163546859649606,"**"
"Nitrosomonas","pH",0.27304347826087,0.196730722890254,0.239065182246385,""
"Nitrosomonas","EC",-0.276521739130435,0.19086089033898,0.234905711186437,""
"Nitrosomonas","TOC",0.255652173913043,0.227918355855052,0.271803256671863,""
"Nitrosomonas","TN",0.453913043478261,0.025880265803652,0.0487157944539332,"*"
"Nitrosomonas","TP",-0.276521739130435,0.19086089033898,0.234905711186437,""
"Nitrosomonas","SO4",-0.465217391304348,0.0219776545641716,0.0435021616115563,"*"
"Nitrosomonas","NO3",0.162608695652174,0.447754151382415,0.508691106895998,""
"Nitrosomonas","Sb_total",-0.50695652173913,0.0114615862928928,0.0252945352670737,"*"
"Nitrosomonas","Sb_III",-0.473913043478261,0.0193115800100825,0.0394449293822963,"*"
"Nitrosomonas","Sb_V",-0.489565217391304,0.0151762844603597,0.032376073515434,"*"
"Nitrosomonas","As",-0.450434782608696,0.0271870787846356,0.0501915300639427,""
"Nitrosomonas","Cu",-0.408695652173913,0.0473813375395418,0.0758101400632669,""
"Nitrosomonas","Zn",-0.475652173913043,0.0188112838889094,0.0388361989964581,"*"
"Nitrosomonas","Cd",-0.462608695652174,0.0228330342053136,0.0442822481557598,"*"
