"feature","rf_predictor_name","importance","importance_metric","importance_for_size","bubble_size"
"Gemmatimonas","Gemmatimonas",9.14706458079349,"%IncMSE",9.14706458079349,8.2
"Arthrobacter","Arthrobacter",8.95678231876217,"%IncMSE",8.95678231876217,7.94789094834967
"Cupriavidus","Cupriavidus",7.71419184397079,"%IncMSE",7.71419184397079,6.30155616735033
"Thermomicrobium","Thermomicrobium",7.62045016399871,"%IncMSE",7.62045016399871,6.17735580423934
"Acidocella","Acidocella",7.3274627591462,"%IncMSE",7.3274627591462,5.78917050522969
"Gaiella","Gaiella",6.87599082538175,"%IncMSE",6.87599082538175,5.19100565342987
"Acidipila","Acidipila",6.65450097824578,"%IncMSE",6.65450097824578,4.89754900268628
"Flavobacterium","Flavobacterium",6.41660041735447,"%IncMSE",6.41660041735447,4.58234944518093
"Clostridium","Clostridium",5.85022584697481,"%IncMSE",5.85022584697481,3.8319476247854
"Caldilinea","Caldilinea",5.47879558903937,"%IncMSE",5.47879558903937,3.33983170666094
"Solirubrobacter","Solirubrobacter",4.90925566248108,"%IncMSE",4.90925566248108,2.58523603794864
"Methylomirabilis","Methylomirabilis",4.31658955806602,"%IncMSE",4.31658955806602,1.8
