"feature","C01","C02","C03","C04","C05","C06","T01","T02","T03","T04","T05","T06","M01","M02","M03","M04","M05","M06","S01","S02","S03","S04","S05","S06","overall_mean_abundance"
"Acidipila",0.0197361675950924,0.0176690849520243,0.0191345402556813,0.016716153480208,0.0187770349980338,0.0174730282114856,0.0205905546306843,0.0194733002119307,0.0189633375474083,0.0178842554994527,0.0190824775238975,0.0187709618089365,0.115505758062929,0.106971399789079,0.117488330257587,0.116382343283349,0.0949418062947112,0.116383225281092,0.0244738691953462,0.0270395864192152,0.0244057380076526,0.0264215376010127,0.0291472470460797,0.0284251490803628,0.0438273702930522
"Flavobacterium",0.023444174840231,0.0236033566246531,0.0234901002443768,0.0230974917567545,0.0215624590378818,0.0239898143804865,0.103653728204679,0.101726713685161,0.0971670732358754,0.0979132092793333,0.100031981805906,0.0971546034837174,0.0199809705042816,0.0163227400796462,0.0167020765162911,0.0163557612621769,0.0188715000868563,0.0176798521720066,0.0173440257076047,0.0161046731143446,0.0182008893616393,0.017545667309419,0.0147090263821781,0.0164099377043844,0.0392942427824952
"Thermomicrobium",0.0160623355319367,0.0172846110126709,0.0167240204146094,0.0158795255827687,0.0170074714903657,0.0170542116196475,0.0179269254359064,0.0202550116388146,0.0156336247573939,0.01802549345009,0.0192068512135319,0.0200512099246276,0.0955411922963352,0.0908375438762179,0.0963199602996138,0.0997294888433693,0.101195458206339,0.096479689310658,0.0265970419039695,0.0252243617670123,0.0233863700158076,0.0254794883495003,0.0235458445575177,0.0237048874683713,0.0391313591236281
"Methylomirabilis",0.0962373124636889,0.106532713717362,0.104184329958606,0.102921635853607,0.105928037750688,0.104754405950546,0.0181547358275651,0.0193169579265539,0.0185359947294386,0.0202146816849688,0.019348992573114,0.0177792203108659,0.0184553298992749,0.0192347043175772,0.0162988694694726,0.017763044735978,0.0159025946338613,0.0174136365059977,0.0154360394221527,0.015973976939386,0.014714355360546,0.0160295567952662,0.015165120223486,0.0178748464805197,0.0389237955637717
"Arthrobacter",0.0167971019445679,0.0143258333054729,0.0160756736987349,0.014944470873866,0.0160407655000655,0.0158647724988273,0.0154560588802243,0.0177361637077442,0.0171471305710368,0.0164542212492497,0.0175899932482854,0.0183742652097082,0.0264608418911382,0.0268215516834301,0.0252314563528372,0.0235172704955201,0.0250146076465107,0.0257289611325128,0.0979241683044744,0.10070866370422,0.0897191567315221,0.0946465107378895,0.0978606348256154,0.0933842352140394,0.0384926878919789
"Gemmatimonas",0.01501999248146,0.0159473103540504,0.0144464947716656,0.0145179546908578,0.0150085201205925,0.0146920860416806,0.0153859633750986,0.0172150227564882,0.0146721034169619,0.0162423643232937,0.0144273479975836,0.0160301489415413,0.0229666327635421,0.0237994050148746,0.0268597925034505,0.02337654214814,0.0255515373560949,0.0253218077609697,0.0994304732666734,0.0927942842206151,0.0922158696390846,0.101093660302928,0.0953948774960448,0.0870806883591542,0.0374787866709519
"Clostridium",0.0157205837121083,0.0160643241616797,0.0139477665286852,0.0143539100050854,0.0136158081006685,0.0148763653420894,0.0163673004468588,0.0182920473890838,0.0171115186695394,0.0158892694467003,0.0181052556767705,0.015435104042699,0.0257718429082319,0.0243503171679967,0.0256811872896732,0.0246900067236877,0.0257410419594776,0.0256350026621567,0.0929461890484456,0.0853300804507566,0.0963967557505651,0.0921147533744499,0.098231211071678,0.0895370000443912,0.0373418600822283
"Cupriavidus",0.0147295034346058,0.0155795526729297,0.014995095838944,0.015420200462606,0.0146316686328483,0.016015546471889,0.0158415841584158,0.0159469131084321,0.0148679688751981,0.0171074467709474,0.01604420596283,0.0153449457246926,0.028265363036845,0.0249956714045112,0.0256036474729774,0.0267696589683048,0.0230721854618385,0.0237088540198566,0.0870787725766422,0.0959309924196219,0.0977263661747108,0.0863447017089362,0.0918316443608272,0.096166082182862,0.0372507738292614
"Solirubrobacter",0.0830798674002939,0.087292300491458,0.0960883081475571,0.0944569300677505,0.1032409227946,0.0943174964819406,0.0186103566108823,0.0188826738005072,0.0166663699008209,0.017072137283288,0.0185494474254646,0.0195463233437917,0.0163227139998031,0.0153940595929546,0.0166555526262736,0.0164183071943458,0.0174344235112045,0.0169908233893952,0.0143744530678411,0.0153931050506811,0.0147291288097032,0.0137480312642595,0.0133692507233363,0.0156552877287995,0.0355953446127897
"Gaiella",0.0206418099176378,0.0201096586540069,0.0209465862051768,0.0206368214701685,0.0219065408310395,0.0212088722106815,0.0986944712170332,0.0851196887051384,0.083901639928064,0.0869319586172805,0.0888205820688675,0.0911861228316925,0.0171265461465271,0.0183532448725819,0.0149651846223036,0.0151986615170516,0.0160763071869621,0.0181026652886091,0.0149482835296312,0.01497197293137,0.0152757464285187,0.0149991904264245,0.0138253445646442,0.0146934789363874,0.0353600574628249
