"taxon","pH","EC","TOC","SO4","NO3","Sb_total","As","Cu","Zn","Cd"
"Acidipila",-0.778260869565217,0.799130434782609,-0.662608695652174,0.710434782608696,-0.689565217391304,0.675652173913043,0.734782608695652,0.724347826086956,0.687826086956522,0.655652173913043
"Flavobacterium",0.719130434782609,-0.697391304347826,0.72695652173913,-0.664347826086956,0,-0.697391304347826,-0.653913043478261,-0.721739130434783,-0.692173913043478,-0.690434782608696
"Thermomicrobium",-0.727826086956522,0.794782608695652,-0.709565217391304,0.746086956521739,-0.809565217391304,0.704347826086956,0.72695652173913,0.748695652173913,0.693913043478261,0.728695652173913
"Methylomirabilis",0.837391304347826,-0.793043478260869,0.734782608695652,-0.872173913043478,0.559130434782609,-0.841739130434783,-0.917391304347826,-0.836521739130435,-0.88695652173913,-0.828695652173913
"Arthrobacter",-0.82695652173913,0.857391304347826,-0.794782608695652,0.887826086956522,-0.60695652173913,0.926086956521739,0.887826086956522,0.905217391304348,0.893913043478261,0.916521739130435
"Gemmatimonas",-0.725217391304348,0.787826086956522,-0.822608695652174,0.895652173913043,-0.659130434782609,0.851304347826087,0.867826086956522,0.84695652173913,0.882608695652174,0.88
"Clostridium",-0.817391304347826,0.82695652173913,-0.817391304347826,0.924347826086956,-0.610434782608696,0.88695652173913,0.933913043478261,0.884347826086956,0.924347826086956,0.878260869565217
"Cupriavidus",-0.834782608695652,0.830434782608696,-0.84695652173913,0.890434782608695,-0.637391304347826,0.879130434782609,0.854782608695652,0.884347826086956,0.878260869565217,0.886086956521739
"Solirubrobacter",0.827826086956522,-0.818260869565217,0.797391304347826,-0.893043478260869,0.584347826086956,-0.913913043478261,-0.88695652173913,-0.902608695652174,-0.913913043478261,-0.906086956521739
"Gaiella",0.685217391304348,-0.715652173913043,0.738260869565217,-0.72,0,-0.701739130434783,-0.731304347826087,-0.742608695652174,-0.721739130434783,-0.692173913043478
"Acidocella",-0.781739130434782,0.747826086956522,-0.672173913043478,0.716521739130435,-0.712173913043478,0.719130434782609,0.710434782608696,0.716521739130435,0.759130434782609,0.733913043478261
"Caldilinea",0.660869565217391,-0.789565217391304,0.759130434782609,-0.78,0.743478260869565,-0.776521739130435,-0.791304347826087,-0.723478260869565,-0.780869565217391,-0.805217391304348
"Blastocatella",0,0,0,0,0,0,0,0,0,0
"Sphingomonas",0.634782608695652,-0.612173913043478,0.787826086956522,-0.723478260869565,0,-0.714782608695652,-0.723478260869565,-0.746086956521739,-0.704347826086956,-0.731304347826087
