"taxon","environmental_variable","correlation","p_value","p_adjust","association"
"Anaerolinea","pH",0.295652173913043,0.160717893362243,0.202707252889316,"positive"
"Anaerolinea","EC",-0.331304347826087,0.113775493474803,0.160894637237095,"negative"
"Anaerolinea","TOC",0.32695652173913,0.118887084858405,0.166441918801767,"positive"
"Anaerolinea","SO4",-0.361739130434783,0.0824002416094226,0.12143193500336,"negative"
"Anaerolinea","NO3",0.0382608695652174,0.8591175903219,0.877930384270554,"positive"
"Anaerolinea","Sb_total",-0.446086956521739,0.0288944427657097,0.0539362931626581,"negative"
"Anaerolinea","As",-0.425217391304348,0.0383202247287696,0.0662324871855278,"negative"
"Anaerolinea","Cu",-0.413043478260869,0.0448491538998177,0.0738691946585232,"negative"
"Anaerolinea","Zn",-0.39304347826087,0.0574330885552701,0.0883585977773386,"negative"
"Anaerolinea","Cd",-0.427826086956522,0.0370242279385606,0.064792398892481,"negative"
"Flavobacterium","pH",0.613913043478261,0.00141803038426151,0.00441165008436913,"positive"
"Flavobacterium","EC",-0.601739130434782,0.00186640113389722,0.0055594927392683,"negative"
"Flavobacterium","TOC",0.581739130434783,0.00286474109090356,0.0074271065319722,"positive"
"Flavobacterium","SO4",-0.75304347826087,2.17065249167844e-05,0.000346202055324008,"negative"
"Flavobacterium","NO3",0.465217391304348,0.0219776545641716,0.0445923425939715,"positive"
"Flavobacterium","Sb_total",-0.763478260869565,1.42392030186242e-05,0.000346202055324008,"negative"
"Flavobacterium","As",-0.729565217391304,5.22368998406155e-05,0.000393654117583183,"negative"
"Flavobacterium","Cu",-0.693913043478261,0.000169350557355243,0.000658585500825946,"negative"
"Flavobacterium","Zn",-0.775652173913043,8.47031054713836e-06,0.000346202055324008,"negative"
"Flavobacterium","Cd",-0.753913043478261,2.09735476355907e-05,0.000346202055324008,"negative"
"Acidipila","pH",0.103478260869565,0.630395070849354,0.658621715812757,"positive"
"Acidipila","EC",-0.14,0.514098690929043,0.575790533840528,"negative"
"Acidipila","TOC",0.12,0.576489872088946,0.620835246865019,"positive"
"Acidipila","SO4",-0.304347826086956,0.148187708586284,0.192095177797035,"negative"
"Acidipila","NO3",0.0234782608695652,0.913286577927015,0.926522615288276,"positive"
