"parent","node","branch.length","x","y","branch","angle"
44,1,1,6,11,5.5,104.210526315789
45,2,1,6,12,5.5,113.684210526316
48,3,1,6,13,5.5,123.157894736842
50,4,1,6,14,5.5,132.631578947368
53,5,1,6,10,5.5,94.7368421052632
57,6,1,6,27,5.5,255.789473684211
59,7,1,6,28,5.5,265.263157894737
61,8,1,6,29,5.5,274.736842105263
63,9,1,6,30,5.5,284.21052631579
66,10,1,6,25,5.5,236.842105263158
68,11,1,6,26,5.5,246.315789473684
72,12,1,6,18,5.5,170.526315789474
73,13,1,6,19,5.5,180
75,14,1,6,17,5.5,161.052631578947
78,15,1,6,15,5.5,142.105263157895
80,16,1,6,16,5.5,151.578947368421
84,17,1,6,22,5.5,208.421052631579
86,18,1,6,23,5.5,217.894736842105
88,19,1,6,24,5.5,227.368421052632
91,20,1,6,20,5.5,189.473684210526
91,21,1,6,21,5.5,198.947368421053
95,22,1,6,8,5.5,75.7894736842105
96,23,1,6,9,5.5,85.2631578947368
99,24,1,6,6,5.5,56.8421052631579
102,25,1,6,7,5.5,66.3157894736842
106,26,1,6,1,5.5,9.47368421052632
110,27,1,6,4,5.5,37.8947368421053
112,28,1,6,5,5.5,47.3684210526316
116,29,1,6,2,5.5,18.9473684210526
120,30,1,6,3,5.5,28.4210526315789
124,31,1,6,31,5.5,293.684210526316
127,32,1,6,33,5.5,312.631578947368
129,33,1,6,34,5.5,322.105263157895
131,34,1,6,35,5.5,331.578947368421
134,35,1,6,32,5.5,303.157894736842
137,36,1,6,36,5.5,341.052631578947
139,37,1,6,37,5.5,350.526315789474
141,38,1,6,38,5.5,360
39,39,0,0,12.8208333333333,0,121.460526315789
39,40,1,1,12.8208333333333,0.5,121.460526315789
40,41,1,2,11.6666666666667,1.5,110.526315789474
41,42,1,3,11.5,2.5,108.947368421053
42,43,1,4,11.5,3.5,108.947368421053
43,44,1,5,11,4.5,104.210526315789
43,45,1,5,12,4.5,113.684210526316
41,46,1,3,13.5,2.5,127.894736842105
46,47,1,4,13,3.5,123.157894736842
47,48,1,5,13,4.5,123.157894736842
46,49,1,4,14,3.5,132.631578947368
49,50,1,5,14,4.5,132.631578947368
41,51,1,3,10,2.5,94.7368421052632
51,52,1,4,10,3.5,94.7368421052632
52,53,1,5,10,4.5,94.7368421052632
40,54,1,2,27,1.5,255.789473684211
54,55,1,3,28.5,2.5,270
55,56,1,4,27,3.5,255.789473684211
56,57,1,5,27,4.5,255.789473684211
55,58,1,4,28,3.5,265.263157894737
58,59,1,5,28,4.5,265.263157894737
55,60,1,4,29,3.5,274.736842105263
60,61,1,5,29,4.5,274.736842105263
55,62,1,4,30,3.5,284.21052631579
62,63,1,5,30,4.5,284.21052631579
54,64,1,3,25.5,2.5,241.578947368421
64,65,1,4,25,3.5,236.842105263158
65,66,1,5,25,4.5,236.842105263158
