"node","label","node_label","node_class","abd","x","y","angle"
1,"g__Acidipila","g__Acidipila","g",4.38273702930522,6,11,104.210526315789
2,"g__Terriglobus","g__Terriglobus","g",2.67603589391337,6,12,113.684210526316
3,"g__Blastocatella","g__Blastocatella","g",3.39414986560995,6,13,123.157894736842
4,"g__Pyrinomonas","g__Pyrinomonas","g",0.4613997626737,6,14,132.631578947368
5,"g__Vicinamibacter","g__Vicinamibacter","g",3.20437615334415,6,10,94.7368421052632
6,"g__Frankia","g__Frankia","g",3.25832028235251,6,27,255.789473684211
7,"g__Arthrobacter","g__Arthrobacter","g",3.84926878919789,6,28,265.263157894737
8,"g__Nocardioides","g__Nocardioides","g",0.497563234522759,6,29,274.736842105263
9,"g__Streptomyces","g__Streptomyces","g",2.8105311159683,6,30,284.21052631579
10,"g__Gaiella","g__Gaiella","g",3.53600574628249,6,25,236.842105263158
11,"g__Solirubrobacter","g__Solirubrobacter","g",3.55953446127897,6,26,246.315789473684
12,"g__Bacillus","g__Bacillus","g",1.16145331399784,6,18,170.526315789474
13,"g__Paenibacillus","g__Paenibacillus","g",2.20968449709867,6,19,180
14,"g__Lactobacillus","g__Lactobacillus","g",2.79886899884698,6,17,161.052631578947
15,"g__Clostridium","g__Clostridium","g",3.73418600822283,6,15,142.105263157895
16,"g__Anaerostipes","g__Anaerostipes","g",3.30438740368241,6,16,151.578947368421
17,"g__Cytophaga","g__Cytophaga","g",3.20659470720736,6,22,208.421052631579
18,"g__Flavobacterium","g__Flavobacterium","g",3.92942427824952,6,23,217.894736842105
19,"g__Pedobacter","g__Pedobacter","g",2.09411215485788,6,24,227.368421052632
20,"g__Segetibacter","g__Segetibacter","g",0.324685312645186,6,20,189.473684210526
21,"g__Terrimonas","g__Terrimonas","g",3.02102956503584,6,21,198.947368421053
22,"g__Anaerolinea","g__Anaerolinea","g",0.329814362429633,6,8,75.7894736842105
23,"g__Caldilinea","g__Caldilinea","g",3.40809770001714,6,9,85.2631578947368
24,"g__Ktedonobacter","g__Ktedonobacter","g",2.69099416308641,6,6,56.8421052631579
25,"g__Thermomicrobium","g__Thermomicrobium","g",3.91313591236281,6,7,66.3157894736842
26,"g__Desulfobacter","g__Desulfobacter","g",2.56697384660373,6,1,9.47368421052632
27,"g__Gemmatimonas","g__Gemmatimonas","g",3.74787866709519,6,4,37.8947368421053
28,"g__Longimicrobium","g__Longimicrobium","g",1.90992955046367,6,5,47.3684210526316
29,"g__Methylomirabilis","g__Methylomirabilis","g",3.89237955637717,6,2,18.9473684210526
30,"g__Nitrospira","g__Nitrospira","g",0.463844577204115,6,3,28.4210526315789
31,"g__Acidithiobacillus","g__Acidithiobacillus","g",1.79505660224827,6,31,293.684210526316
32,"g__Bradyrhizobium","g__Bradyrhizobium","g",2.43268368007852,6,33,312.631578947368
33,"g__Acidocella","g__Acidocella","g",3.5013368408844,6,34,322.105263157895
34,"g__Sphingomonas","g__Sphingomonas","g",3.39191874498097,6,35,331.578947368421
35,"g__Nitrosomonas","g__Nitrosomonas","g",2.44486825646491,6,32,303.157894736842
36,"g__Cupriavidus","g__Cupriavidus","g",3.72507738292614,6,36,341.052631578947
37,"g__Pseudomonas","g__Pseudomonas","g",1.89257873259036,6,37,350.526315789474
38,"g__Lysobacter","g__Lysobacter","g",0.479082849892739,6,38,360
39,"r__Root","r__Root","r",100,0,12.8208333333333,121.460526315789
40,"k__Bacteria","k__Bacteria","k",100,1,12.8208333333333,121.460526315789
41,"p__Acidobacteriota","p__Acidobacteriota","p",14.1186987048464,2,11.6666666666667,110.526315789474
42,"c__Acidobacteriae","c__Acidobacteriae","c",7.05877292321859,3,11.5,108.947368421053
43,"o__Acidobacteriales","o__Acidobacteriales","o",7.05877292321859,4,11.5,108.947368421053
44,"f__Acidobacteriaceae","f__Acidobacteriaceae","f",4.38273702930522,5,11,104.210526315789
45,"f__Terriglobaceae","f__Terriglobaceae","f",2.67603589391337,5,12,113.684210526316
46,"c__Blastocatellia","c__Blastocatellia","c",3.85554962828364,3,13.5,127.894736842105
47,"o__Blastocatellales","o__Blastocatellales","o",3.39414986560995,4,13,123.157894736842
48,"f__Blastocatellaceae","f__Blastocatellaceae","f",3.39414986560995,5,13,123.157894736842
49,"o__Pyrinomonadales","o__Pyrinomonadales","o",0.4613997626737,4,14,132.631578947368
50,"f__Pyrinomonadaceae","f__Pyrinomonadaceae","f",0.4613997626737,5,14,132.631578947368
51,"c__Vicinamibacteria","c__Vicinamibacteria","c",3.20437615334415,3,10,94.7368421052632
52,"o__Vicinamibacterales","o__Vicinamibacterales","o",3.20437615334415,4,10,94.7368421052632
53,"f__Vicinamibacteraceae","f__Vicinamibacteraceae","f",3.20437615334415,5,10,94.7368421052632
54,"p__Actinobacteriota","p__Actinobacteriota","p",17.5112236296029,2,27,255.789473684211
55,"c__Actinomycetia","c__Actinomycetia","c",10.4156834220415,3,28.5,270
56,"o__Frankiales","o__Frankiales","o",3.25832028235251,4,27,255.789473684211
57,"f__Frankiaceae","f__Frankiaceae","f",3.25832028235251,5,27,255.789473684211
58,"o__Micrococcales","o__Micrococcales","o",3.84926878919789,4,28,265.263157894737
59,"f__Micrococcaceae","f__Micrococcaceae","f",3.84926878919789,5,28,265.263157894737
60,"o__Propionibacteriales","o__Propionibacteriales","o",0.497563234522759,4,29,274.736842105263
61,"f__Nocardioidaceae","f__Nocardioidaceae","f",0.497563234522759,5,29,274.736842105263
62,"o__Streptomycetales","o__Streptomycetales","o",2.8105311159683,4,30,284.21052631579
63,"f__Streptomycetaceae","f__Streptomycetaceae","f",2.8105311159683,5,30,284.21052631579
64,"c__Thermoleophilia","c__Thermoleophilia","c",7.09554020756146,3,25.5,241.578947368421
65,"o__Gaiellales","o__Gaiellales","o",3.53600574628249,4,25,236.842105263158
66,"f__Gaiellaceae","f__Gaiellaceae","f",3.53600574628249,5,25,236.842105263158
67,"o__Solirubrobacterales","o__Solirubrobacterales","o",3.55953446127897,4,26,246.315789473684
68,"f__Solirubrobacteraceae","f__Solirubrobacteraceae","f",3.55953446127897,5,26,246.315789473684
69,"p__Bacillota","p__Bacillota","p",13.2085802218487,2,16.625,157.5
70,"c__Bacilli","c__Bacilli","c",6.17000680994349,3,17.75,168.157894736842
71,"o__Bacillales","o__Bacillales","o",3.37113781109651,4,18.5,175.263157894737
72,"f__Bacillaceae","f__Bacillaceae","f",1.16145331399784,5,18,170.526315789474
73,"f__Paenibacillaceae","f__Paenibacillaceae","f",2.20968449709867,5,19,180
74,"o__Lactobacillales","o__Lactobacillales","o",2.79886899884698,4,17,161.052631578947
75,"f__Lactobacillaceae","f__Lactobacillaceae","f",2.79886899884698,5,17,161.052631578947
76,"c__Clostridia","c__Clostridia","c",7.03857341190524,3,15.5,146.842105263158
77,"o__Clostridiales","o__Clostridiales","o",3.73418600822283,4,15,142.105263157895
78,"f__Clostridiaceae","f__Clostridiaceae","f",3.73418600822283,5,15,142.105263157895
79,"o__Lachnospirales","o__Lachnospirales","o",3.30438740368241,4,16,151.578947368421
80,"f__Lachnospiraceae","f__Lachnospiraceae","f",3.30438740368241,5,16,151.578947368421
81,"p__Bacteroidota","p__Bacteroidota","p",12.5758460179958,2,21.75,206.052631578947
82,"c__Bacteroidia","c__Bacteroidia","c",9.23013114031477,3,23,217.894736842105
83,"o__Cytophagales","o__Cytophagales","o",3.20659470720736,4,22,208.421052631579
84,"f__Cytophagaceae","f__Cytophagaceae","f",3.20659470720736,5,22,208.421052631579
