"relationships","direct","indirect","total"
"Environment -> Nutrient",0.888051104335257,0,0.888051104335257
"Environment -> Sb_As",-0.504112441466599,-0.44541923067383,-0.949531672140428
"Environment -> Function",-0.217555788484791,-0.744268666205399,-0.96182445469019
"Environment -> Alpha",-0.444018262572676,0.751078026861518,0.307059764288842
"Nutrient -> Sb_As",-0.501569367460271,0,-0.501569367460271
"Nutrient -> Function",0.0597400459519735,-0.421167340880805,-0.361427294928832
"Nutrient -> Alpha",1.22736059267686,0.233478909875878,1.46083950255274
"Sb_As -> Function",0.839699088908506,0,0.839699088908506
"Sb_As -> Alpha",-2.49252331857834,2.36207226804776,-0.130451050530576
"Function -> Alpha",2.81299848868257,0,2.81299848868257
