"target_latent_variable","predictor_latent_variable","Estimate","Std. Error","t value","Pr(>|t|)"
"Nutrient","Intercept",4.82152296889739e-17,0.0980179102578453,4.91902240744974e-16,1
"Nutrient","Environment",0.888051104335257,0.0980179102578453,9.060090161065,7.04683490074572e-09
"Sb_As","Intercept",-7.15883179464086e-17,0.0464020033854102,-1.54278506795932e-15,0.999999999999999
"Sb_As","Environment",-0.504112441466599,0.100929925317532,-4.99467764273705,6.06957188204886e-05
"Sb_As","Nutrient",-0.501569367460271,0.100929925317532,-4.96948121067463,6.44184964198032e-05
"Function","Intercept",1.19012347321892e-18,0.0277502632857788,4.28869254667152e-17,1
"Function","Environment",-0.217555788484791,0.0892829103522677,-2.43670135333201,0.0242921169882808
"Function","Nutrient",0.0597400459519735,0.0890386476250315,0.670945118164382,0.509930585038827
"Function","Sb_As",0.839699088908506,0.130503070253643,6.43432439770562,2.8252528680419e-06
"Alpha","Intercept",1.00317020195626e-16,0.13218978115321,7.58886347495779e-16,0.999999999999999
"Alpha","Environment",-0.444018262572676,0.484337712466143,-0.916753437001284,0.370762287674096
"Alpha","Nutrient",1.22736059267686,0.428886884964779,2.86173496020438,0.00998248558500214
"Alpha","Sb_As",-2.49252331857834,1.08923745943021,-2.28831950003096,0.0337501329494391
"Alpha","Function",2.81299848868257,1.06516227808504,2.64091072933957,0.016111928678484
