"sample_id","group","pH","EC","TOC","TN","TP","SO4","NO3","Sb_total","Sb_III","Sb_V","As","Cu","Zn","Cd","Fe","Mn","MetalRes","Sulfur","Nitrogen","Carbon","Chao1","Shannon","Simpson","Pielou"
"C01","Control",6.94320316711061,172.053188024878,34.3843071226195,2.92950667328027,0.645682945539793,57.3696733391952,27.8641993443559,0.6903,0.2675,0.4037,3.38214222662481,16.4405636430772,60.121817881346,0.201004885575092,18.6501441984587,0.256511226271234,0.0927819083023544,0.192843866171004,0.225526641883519,0.12453531598513,151.961538461538,4.56779002097097,0.985239547242153,0.910411651240625
"C02","Control",7.19940203009162,103.933205933492,32.6596179599916,2.7702832982845,0.6998538624121,39.1226638836832,23.0854064061194,0.3153,0.0587,0.2475,2.25251942088186,5.38284136582358,46.2915067925225,0.1904525431854,21.7336426547595,0.408953587329384,0.0895364638381398,0.202023252302582,0.229956213196437,0.117167446776385,152.2,4.53434828281835,0.984183580110726,0.903746338712662
"C03","Control",6.60750810583217,75.9835636524209,42.3006201892078,2.52129934436726,0.687282501499914,39.9528221394686,35.5388258061313,3.4993,0.6982,2.7387,4.9775504015327,21.4723889947936,30.0406889828544,0.166190898283458,16.0676526451836,0.489337819569071,0.0830015313935682,0.209647779479326,0.230015313935681,0.121439509954058,154.285714285714,4.5207266932107,0.983842551108713,0.899847572897531
"C04","Control",6.67506688603552,125.509503757046,32.0378954479592,3.044407254646,0.641311380434359,37.276278353977,37.2781133378721,0.9604,0.1456,0.8091,2.11742509084912,17.6530228887755,53.1299860378026,0.295692444152604,16.0852812427826,0.303882168622271,0.100044398401658,0.202308716886192,0.215480242711262,0.123131567263579,152.2,4.5241513772739,0.983981985976925,0.901713981364437
"C05","Control",6.76360611048793,132.009584755271,31.6973166058543,2.75008435735908,0.753066546238029,60.7427800063412,33.1316672771862,1.6888,0.6212,1.0323,3.66638572205562,18.3463315540799,46.0886490615531,0.32298715706412,19.5762827312264,0.476972116815574,0.0893402565668907,0.204489920586439,0.226023213194869,0.129352474037874,157,4.49791910131837,0.98336585185373,0.895307737247042
"C06","Control",6.87727423312524,110.685990684155,35.6169721090562,2.73243192988439,0.720363915143301,63.6642427828277,24.0031167275134,0.4975,0.4108,0.08,2.61021672664581,28.5096057740813,40.6756002304077,0.276307663610354,14.9735082298217,0.436625897674787,0.0927437991064551,0.19673393930057,0.232321676167,0.11723925435218,154.666666666667,4.51914831448453,0.983860873586064,0.899533397685834
"T01","Tailing",6.59921117161047,212.118368719912,31.4488165838466,2.87553496669559,0.690103084408241,131.030065231112,21.4992445276064,6.9868,2.0156,4.7818,9.07052350276607,47.3903194051049,90.5967792713128,0.676595259777657,20.8340629178288,0.543538358780064,0.181255049824939,0.225154861298142,0.185429571774845,0.0810665230272017,153.633333333333,4.55081121070213,0.98505135906044,0.90583587563813
"T02","Tailing",6.6582303318547,170.842343848125,34.6466118912247,2.67444847325742,0.678625126212956,121.992702007941,18.7563851577239,6.9552,1.853,4.9247,8.36774913418784,38.8535504661705,69.6073839047685,0.429766661822345,20.4440179294879,0.648283775117008,0.162578359225947,0.236167893158899,0.198964295448351,0.074270918506405,153.133333333333,4.57519854343678,0.985842732802144,0.911888252647516
"T03","Tailing",6.51886239279335,177.66035005199,37.4795635242697,2.64105367848251,0.715433707210879,90.0273772242645,24.4290709908456,7.0399,1.4697,5.4471,8.50003479539156,46.2671465555267,73.0857708480407,0.583891118733962,21.4660710183406,0.50151961562199,0.174025268305937,0.244803695150115,0.182040483629942,0.0847710908843907,158.05,4.55503308107939,0.985306624621115,0.906676236064646
"T04","Tailing",6.64844891527777,199.605470140735,32.0646634393113,2.64948852239863,0.729310272708443,110.53206458844,21.5713595455056,8.4637,2.1424,6.1524,7.18927777539931,58.7263621223213,70.0075690573219,0.708709445309163,20.5822049428516,0.600519312129248,0.18319977894446,0.230035921525283,0.201298701298701,0.0852445426913512,152.058823529412,4.57224486853948,0.985780112785667,0.911299552197599
"T05","Tailing",6.539855308227,232.253673463005,29.9408917170288,2.79636143895359,0.824972154369439,77.9283958738558,21.8275952715053,8.3565,1.6497,6.2858,7.86631751336428,64.3537542014032,62.9232854181966,0.652456589349329,19.5576402599242,0.360072920238326,0.175784392598552,0.240547063555913,0.184365781710914,0.0811209439528024,155.846153846154,4.57117522161639,0.98578050362397,0.909889318157266
"T06","Tailing",6.29369378331474,225.045420631758,33.9917008748171,2.6896214377476,0.702599702070007,110.049789689737,21.72871299014,9.0034,2.2222,6.7508,7.51270669311703,36.2622903782132,88.8500395785901,0.696879617382662,21.1763720432168,0.551574567998188,0.174267100977199,0.238056460369164,0.191910966340934,0.0754614549402823,151.735294117647,4.56342015375276,0.985364235982676,0.909540687818146
"M01","Mining",5.93468671348525,372.535961772752,29.6367376809878,2.32276520877483,0.901128159030268,192.01943434725,21.4565647157608,17.6622,4.7404,12.2434,15.5385054570803,76.3762801272367,127.494545242505,1.16552752558058,24.425178322628,0.773875464589273,0.239358069656271,0.309924880491691,0.129751877987708,0.0442749829273845,153.461538461538,4.57068881135679,0.985681764746016,0.910989412593411
"M02","Mining",6.09981071230257,278.588432498531,26.4630872118952,2.163134217655,0.79965717447962,186.837069615491,17.3347879557785,19.8808,5.2707,13.1386,14.8086367738242,95.9322063830981,142.04777701266,1.27652267308929,20.1111196178089,0.828392797636143,0.221707401830187,0.321556816865516,0.133325611027453,0.0450596548129271,155.115384615385,4.55886757636177,0.985421674221182,0.90743948974205
