"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","taxon","change","comparison","gene","negative_log10_pvalue","negative_log10_pvalue_for_plot"
1091.69049549315,-0.0534470541057995,0.0465984221109696,-1.14697132831066,0.251393470956706,0.396543209009067,"Acidipila","Stable","Tailing vs Control","Acidipila",0.599646005744317,0.599646005744317
1602.15080746729,2.00541801448102,0.0522905160400603,38.3514672707503,8.49792910846944e-322,2.69265776983479e-321,"Acidithiobacillus","Up","Tailing vs Control","Acidithiobacillus",307.652655568589,80
889.347834882614,-0.0246139915668115,0.0494162563830802,-0.498095027191076,0.618417065400587,0.691172014271245,"Acidocella","Stable","Tailing vs Control","Acidocella",0.208718534440563,0.208718534440563
206.773224911137,-0.0538856281680173,0.0691379067620681,-0.779393399245653,0.435748010938201,0.551075823917017,"Anaerolinea","Stable","Tailing vs Control","Anaerolinea",0.36076458664031,0.36076458664031
1897.1606642727,0.0610414018845335,0.0419716930679966,1.45434690436821,0.145850152529031,0.284776744672964,"Anaerostipes","Stable","Tailing vs Control","Anaerostipes",0.836093112359994,0.836093112359994
956.882686945109,0.00577425607582164,0.046941587653108,0.123009390276542,0.902099662076856,0.902099662076856,"Arthrobacter","Stable","Tailing vs Control","Arthrobacter",0.0447454798648709,0.0447454798648709
1097.32899730588,-2.45812540217547,0.0521910757164834,-47.0985770733813,0,0,"Bacillus","Down","Tailing vs Control","Bacillus",307.652655568589,80
1970.22341475199,0.071167383704071,0.0467147293880666,1.5234463441471,0.127647074902222,0.284776744672964,"Blastocatella","Stable","Tailing vs Control","Blastocatella",0.893989132825098,0.893989132825098
2311.05123519127,-2.56484713683399,0.0547786952325386,-46.8219829980629,0,0,"Bradyrhizobium","Down","Tailing vs Control","Bradyrhizobium",307.652655568589,80
3218.54045637883,-2.59742806684055,0.0705214183546414,-36.8317615760148,5.72907746075145e-297,1.67465341160427e-296,"Caldilinea","Down","Tailing vs Control","Caldilinea",296.241915305775,80
921.781483924556,0.0716255056921442,0.0497417778324231,1.43994663667724,0.149882497196297,0.284776744672964,"Clostridium","Stable","Tailing vs Control","Clostridium",0.824249079725976,0.824249079725976
908.111056178708,-0.0629236387956403,0.0450139300346206,-1.39787036473477,0.162151999404207,0.293417903683804,"Cupriavidus","Stable","Tailing vs Control","Cupriavidus",0.790077691919403,0.790077691919403
789.817609464909,0.0246919773360415,0.0535581321041014,0.461031338584539,0.644776121393612,0.700042646084492,"Cytophaga","Stable","Tailing vs Control","Cytophaga",0.190591054545111,0.190591054545111
2300.73270635967,1.97022325481773,0.0510621338332025,38.5848202359421,0,0,"Desulfobacter","Up","Tailing vs Control","Desulfobacter",307.652655568589,80
3496.2009909362,1.98132160878301,0.0355334379180247,55.7593558313692,0,0,"Flavobacterium","Up","Tailing vs Control","Flavobacterium",307.652655568589,80
1923.6765302562,0.0148455247023529,0.0466300534673268,0.318368168133348,0.750205681221903,0.79188377462312,"Frankia","Stable","Tailing vs Control","Frankia",0.124819651310355,0.124819651310355
3133.76534040696,1.9700625344539,0.0475301872770657,41.4486592061988,0,0,"Gaiella","Up","Tailing vs Control","Gaiella",307.652655568589,80
893.359272866739,-0.0540199898898486,0.0452642855917872,-1.19343515938866,0.232698992079243,0.384459204304836,"Gemmatimonas","Stable","Tailing vs Control","Gemmatimonas",0.633205497827886,0.633205497827886
2405.68082738459,2.11043160108249,0.0537817568524365,39.2406593721544,0,0,"Ktedonobacter","Up","Tailing vs Control","Ktedonobacter",307.652655568589,80
709.423913892654,-0.0473429289646356,0.0545953271338616,-0.867160825844236,0.385853897011334,0.505601658152782,"Lactobacillus","Stable","Tailing vs Control","Lactobacillus",0.413577109144826,0.413577109144826
1155.28644179422,0.077732746309367,0.0472612850001289,1.64474466382273,0.100022477978363,0.237553385198611,"Longimicrobium","Stable","Tailing vs Control","Longimicrobium",0.999902390350255,0.999902390350255
287.817088159156,-0.0700400535792183,0.0636710377399797,-1.10003003037658,0.271319037743046,0.396543209009067,"Lysobacter","Stable","Tailing vs Control","Lysobacter",0.56651973186806,0.56651973186806
3681.55156669369,-2.57491980178197,0.042477144321141,-60.6189479762278,0,0,"Methylomirabilis","Down","Tailing vs Control","Methylomirabilis",307.652655568589,80
2325.91697685479,-2.54017788291479,0.0473372894038809,-53.6612449699442,0,0,"Nitrosomonas","Down","Tailing vs Control","Nitrosomonas",307.652655568589,80
287.439888078952,-0.0960773598976284,0.0659555321367642,-1.45669903319716,0.145199476784003,0.284776744672964,"Nitrospira","Stable","Tailing vs Control","Nitrospira",0.838034948582411,0.838034948582411
