"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","taxon","change","comparison","gene","negative_log10_pvalue","negative_log10_pvalue_for_plot"
3676.53592312168,2.71307758392509,0.0480082973820076,56.5126807630109,0,0,"Arthrobacter","Up","Smelting vs Control","Arthrobacter",307.652655568589,80
1100.27970695016,-2.61630798014349,0.0598369059783058,-43.7239850117259,0,0,"Bacillus","Down","Smelting vs Control","Bacillus",307.652655568589,80
2325.69711750708,-2.68879260734214,0.0529105938636317,-50.8176607178527,0,0,"Bradyrhizobium","Down","Smelting vs Control","Bradyrhizobium",307.652655568589,80
3289.5762495001,-2.56713696786117,0.0585886678221822,-43.8162713590362,0,0,"Caldilinea","Down","Smelting vs Control","Caldilinea",307.652655568589,80
3538.93326472987,2.75091021576459,0.048824373067571,56.3429705888377,0,0,"Clostridium","Up","Smelting vs Control","Clostridium",307.652655568589,80
3555.14991337674,2.7057420853756,0.0450623276143205,60.0444368638369,0,0,"Cupriavidus","Up","Smelting vs Control","Cupriavidus",307.652655568589,80
3032.92642092227,2.72283404600559,0.0530526507923737,51.3232422006893,0,0,"Cytophaga","Up","Smelting vs Control","Cytophaga",307.652655568589,80
3619.35282950547,2.76686592065755,0.0488307583916985,56.6623581485872,0,0,"Gemmatimonas","Up","Smelting vs Control","Gemmatimonas",307.652655568589,80
3741.20475621641,-2.60277594061684,0.0524526562320799,-49.6214324990654,0,0,"Methylomirabilis","Down","Smelting vs Control","Methylomirabilis",307.652655568589,80
2363.11001642565,-2.56774864996024,0.0551447174283555,-46.5638191599454,0,0,"Nitrosomonas","Down","Smelting vs Control","Nitrosomonas",307.652655568589,80
3378.48809846825,-2.57815187324722,0.0610446805531594,-42.2338498602199,0,0,"Solirubrobacter","Down","Smelting vs Control","Solirubrobacter",307.652655568589,80
2574.32562146146,2.81892479819174,0.0522808391875441,53.9188896352555,0,0,"Terriglobus","Up","Smelting vs Control","Terriglobus",307.652655568589,80
3038.82154882041,-2.61523420753875,0.0534562918573037,-48.9228511120798,0,0,"Vicinamibacter","Down","Smelting vs Control","Vicinamibacter",307.652655568589,80
