"taxon","C01","C02","C03","C04","C05","C06","T01","T02","T03","T04","T05","T06","M01","M02","M03","M04","M05","M06","S01","S02","S03","S04","S05","S06"
"Acidipila",1155,1057,1151,1019,1146,1043,1175,1121,1065,1013,1074,1041,7041,6796,7576,7443,6012,7432,1706,1862,1652,1795,2045,1921
"Acidithiobacillus",653,670,582,665,619,588,2537,2789,2534,2473,2850,2354,450,470,517,487,487,507,507,589,503,558,523,550
"Acidocella",873,904,893,933,864,835,875,886,871,1028,843,837,5255,5832,5522,5046,5545,5946,1497,1548,1651,1473,1566,1485
"Anaerolinea",215,194,194,216,214,212,214,208,197,182,187,241,199,250,175,169,158,219,211,245,197,192,221,183
"Anaerostipes",1777,1860,1665,1933,1842,1901,1855,2153,1951,1923,1953,1904,2041,2221,1965,2073,2143,2266,2310,2528,2154,2464,2203,2200
"Arthrobacter",983,857,967,911,979,947,882,1021,963,932,990,1019,1613,1704,1627,1504,1584,1643,6826,6935,6073,6430,6866,6311
"Bacillus",2016,1753,1886,1724,1798,1797,352,328,331,366,333,336,342,365,324,370,275,339,300,303,350,339,306,308
"Blastocatella",1894,1776,1810,1943,1997,1938,1919,2118,2155,2218,1902,1917,1941,2340,2172,2038,2253,2073,2430,2392,2407,2059,2448,2464
"Bradyrhizobium",4019,4149,3631,4116,3817,3642,730,706,702,708,637,565,613,748,759,770,672,660,626,599,651,678,609,694
"Caldilinea",4967,5155,5600,5450,5758,5718,890,858,1023,845,1016,889,916,1053,920,1017,961,903,994,989,920,919,1163,888
"Clostridium",920,961,839,875,831,888,934,1053,961,900,1019,856,1571,1547,1656,1579,1630,1637,6479,5876,6525,6258,6892,6051
"Cupriavidus",862,932,902,940,893,956,904,918,835,969,903,851,1723,1588,1651,1712,1461,1514,6070,6606,6615,5866,6443,6499
"Cytophaga",721,763,806,775,844,718,783,799,848,748,871,772,1354,1284,1325,1582,1519,1366,5597,5673,4947,5391,5307,5636
"Desulfobacter",943,847,944,945,847,1005,3863,3610,3989,3751,3483,3496,629,751,722,780,741,721,662,757,827,676,726,661
"Flavobacterium",1372,1412,1413,1408,1316,1432,5915,5856,5457,5546,5630,5388,1218,1037,1077,1046,1195,1129,1209,1109,1232,1192,1032,1109
"Frankia",1988,1807,1918,2023,1784,1795,1923,2170,1723,1928,2013,1961,2062,2123,2042,2090,2242,2158,2094,2072,2150,2041,2195,2176
"Gaiella",1208,1203,1260,1258,1337,1266,5632,4900,4712,4924,4999,5057,1044,1166,965,972,1018,1156,1042,1031,1034,1019,970,993
"Gemmatimonas",879,954,869,885,916,877,878,991,824,920,812,889,1400,1512,1732,1495,1618,1617,6931,6390,6242,6868,6693,5885
"Ktedonobacter",897,929,857,974,795,897,4152,3758,4096,4206,3855,3577,716,669,822,858,764,658,774,816,787,730,730,807
"Lactobacillus",678,677,793,738,683,693,786,684,667,712,721,654,4005,4515,4782,4466,4547,4198,1207,1204,1325,1275,1139,1240
"Longimicrobium",1074,1009,1152,1163,1115,1132,1198,1217,1067,1316,1213,1174,1189,1120,1104,1147,1242,1151,1214,1252,1385,1411,1173,1165
"Lysobacter",259,325,305,285,273,296,263,314,290,285,256,294,314,334,312,282,337,301,324,259,293,311,310,298
"Methylomirabilis",5632,6373,6267,6274,6465,6253,1036,1112,1041,1145,1089,986,1125,1222,1051,1136,1007,1112,1076,1100,996,1089,1064,1208
"Nitrosomonas",3577,4057,4121,3936,3796,3976,652,676,694,715,673,722,656,605,709,650,588,683,669,737,746,665,789,611
"Nitrospira",276,321,271,316,276,295,288,247,304,275,296,271,286,296,302,290,262,286,299,286,276,297,295,274
"Nocardioides",322,290,296,334,266,314,303,314,274,300,282,335,348,322,348,308,345,304,297,281,301,298,278,319
"Paenibacillus",879,780,781,757,894,758,2861,2959,3342,3179,3137,3554,599,579,530,535,662,578,615,641,650,728,649,662
"Pedobacter",545,617,601,602,493,516,546,589,565,517,543,527,3054,3273,3325,3415,3181,3251,987,864,984,902,971,821
"Pseudomonas",1070,1044,995,990,1021,946,1121,1223,1147,1306,1293,1129,1144,1382,1143,1202,1289,1120,1255,1278,1330,1293,1310,1120
"Pyrinomonas",288,303,262,308,249,313,275,311,294,225,276,310,307,280,281,262,317,247,302,287,298,288,274,289
"Segetibacter",210,208,209,194,209,199,216,214,205,209,172,184,187,214,183,174,186,226,219,216,208,185,191,200
"Solirubrobacter",4862,5222,5780,5758,6301,5630,1062,1087,936,967,1044,1084,995,978,1074,1050,1104,1085,1002,1060,997,934,938,1058
"Sphingomonas",1163,1130,1096,1145,1182,1009,4919,4999,5147,4746,4954,5114,1003,892,1014,1062,910,906,864,957,929,905,890,1075
"Streptomyces",848,682,656,704,727,732,737,653,701,739,689,740,3904,4252,4762,4724,4519,4586,1257,1180,1147,1227,1174,1207
"Terriglobus",685,627,618,613,583,583,693,695,625,696,556,678,1054,1183,1156,1068,1178,1006,5028,4352,4448,4526,5026,4493
"Terrimonas",1788,1855,1748,1668,1725,1791,1834,1857,1858,1831,1651,1727,1852,1980,1668,1920,1918,1762,2096,2036,2067,2100,2076,2198
"Thermomicrobium",940,1034,1006,968,1038,1018,1023,1166,878,1021,1081,1112,5824,5771,6211,6378,6408,6161,1854,1737,1583,1731,1652,1602
"Vicinamibacter",5084,5085,5009,5213,5139,4783,839,1006,889,878,986,913,984,877,979,853,1045,951,877,815,809,824,1024,920
