"sample_1","sample_2","group_1","group_2","comparison","bray_curtis"
"C01","C02","Control","Control","Control",0.055429947457523
"C01","C03","Control","Control","Control",0.067559841379682
"C01","C04","Control","Control","Control",0.060637990116863
"C01","C05","Control","Control","Control",0.0702482059160569
"C01","C06","Control","Control","Control",0.0694146902712509
"C01","T01","Control","Tailing","Control vs Tailing",0.437293546214962
"C01","T02","Control","Tailing","Control vs Tailing",0.42596887730305
"C01","T03","Control","Tailing","Control vs Tailing",0.435398654593169
"C01","T04","Control","Tailing","Control vs Tailing",0.429626637458183
"C01","T05","Control","Tailing","Control vs Tailing",0.43079216212549
"C01","T06","Control","Tailing","Control vs Tailing",0.435686651351517
"C01","M01","Control","Mining","Control vs Mining",0.461045218838388
"C01","M02","Control","Mining","Control vs Mining",0.466172080652993
"C01","M03","Control","Mining","Control vs Mining",0.478939520916121
"C01","M04","Control","Mining","Control vs Mining",0.470427729225702
"C01","M05","Control","Mining","Control vs Mining",0.46433076949236
"C01","M06","Control","Mining","Control vs Mining",0.471288827437711
"C01","S01","Control","Smelting","Control vs Smelting",0.490956981464723
"C01","S02","Control","Smelting","Control vs Smelting",0.484314130931737
"C01","S03","Control","Smelting","Control vs Smelting",0.480229616327215
"C01","S04","Control","Smelting","Control vs Smelting",0.483645258578679
"C01","S05","Control","Smelting","Control vs Smelting",0.490920644755439
"C01","S06","Control","Smelting","Control vs Smelting",0.479916999390238
"C02","C03","Control","Control","Control",0.060789437971253
"C02","C04","Control","Control","Control",0.0542355031750226
"C02","C05","Control","Control","Control",0.0663189361760114
"C02","C06","Control","Control","Control",0.0601259293768547
"C02","T01","Control","Tailing","Control vs Tailing",0.448551083568423
"C02","T02","Control","Tailing","Control vs Tailing",0.440244085107699
"C02","T03","Control","Tailing","Control vs Tailing",0.444606003919068
"C02","T04","Control","Tailing","Control vs Tailing",0.44248215376084
"C02","T05","Control","Tailing","Control vs Tailing",0.441484821515751
"C02","T06","Control","Tailing","Control vs Tailing",0.445343364260202
"C02","M01","Control","Mining","Control vs Mining",0.469275642963624
"C02","M02","Control","Mining","Control vs Mining",0.476310297222281
"C02","M03","Control","Mining","Control vs Mining",0.484557804610729
"C02","M04","Control","Mining","Control vs Mining",0.476649342920098
"C02","M05","Control","Mining","Control vs Mining",0.475501046273356
"C02","M06","Control","Mining","Control vs Mining",0.480696627384512
"C02","S01","Control","Smelting","Control vs Smelting",0.498662947781902
"C02","S02","Control","Smelting","Control vs Smelting",0.491364941070017
"C02","S03","Control","Smelting","Control vs Smelting",0.487190641666838
"C02","S04","Control","Smelting","Control vs Smelting",0.491125050447301
"C02","S05","Control","Smelting","Control vs Smelting",0.497794893215965
"C02","S06","Control","Smelting","Control vs Smelting",0.48562398897971
"C03","C04","Control","Control","Control",0.0645071322768039
"C03","C05","Control","Control","Control",0.0653252715537367
"C03","C06","Control","Control","Control",0.0561136330795792
"C03","T01","Control","Tailing","Control vs Tailing",0.449140513414558
"C03","T02","Control","Tailing","Control vs Tailing",0.446604574587451
"C03","T03","Control","Tailing","Control vs Tailing",0.45208659917294
"C03","T04","Control","Tailing","Control vs Tailing",0.449753081679663
"C03","T05","Control","Tailing","Control vs Tailing",0.446201086876664
"C03","T06","Control","Tailing","Control vs Tailing",0.447794416567084
"C03","M01","Control","Mining","Control vs Mining",0.473535831508521
"C03","M02","Control","Mining","Control vs Mining",0.48064811915556
"C03","M03","Control","Mining","Control vs Mining",0.48734243205881
"C03","M04","Control","Mining","Control vs Mining",0.480041884885358
"C03","M05","Control","Mining","Control vs Mining",0.478816323409286
"C03","M06","Control","Mining","Control vs Mining",0.483475671598481
"C03","S01","Control","Smelting","Control vs Smelting",0.50402618401762
"C03","S02","Control","Smelting","Control vs Smelting",0.494616555178214
"C03","S03","Control","Smelting","Control vs Smelting",0.491733202318457
"C03","S04","Control","Smelting","Control vs Smelting",0.496011671016589
"C03","S05","Control","Smelting","Control vs Smelting",0.50005576812608
"C03","S06","Control","Smelting","Control vs Smelting",0.491674120488323
"C04","C05","Control","Control","Control",0.0584056195413332
"C04","C06","Control","Control","Control",0.060976457035077
"C04","T01","Control","Tailing","Control vs Tailing",0.447059121415845
"C04","T02","Control","Tailing","Control vs Tailing",0.441616835160567
"C04","T03","Control","Tailing","Control vs Tailing",0.445644939266471
"C04","T04","Control","Tailing","Control vs Tailing",0.444474954565209
"C04","T05","Control","Tailing","Control vs Tailing",0.44272386062844
"C04","T06","Control","Tailing","Control vs Tailing",0.44396385989262
"C04","M01","Control","Mining","Control vs Mining",0.472346313088637
