"sample_id","MDS1","MDS2","stress","group"
"C01",-0.29952909090671,-0.344259230136952,8.80382619718567e-05,"Control"
"C02",-0.299581075433302,-0.344333346119939,8.80382619718567e-05,"Control"
"C03",-0.299657813937248,-0.344448170200078,8.80382619718567e-05,"Control"
"C04",-0.299738116520052,-0.344371283383283,8.80382619718567e-05,"Control"
"C05",-0.299691503457288,-0.344477908657719,8.80382619718567e-05,"Control"
"C06",-0.299682673080155,-0.344386538270771,8.80382619718567e-05,"Control"
"T01",-0.298277194299941,0.345235046844664,8.80382619718567e-05,"Tailing"
"T02",-0.29812640434822,0.345116896755009,8.80382619718567e-05,"Tailing"
"T03",-0.298333234730544,0.345229407735826,8.80382619718567e-05,"Tailing"
"T04",-0.298260969650157,0.345150179833932,8.80382619718567e-05,"Tailing"
"T05",-0.298327423812408,0.345119250773086,8.80382619718567e-05,"Tailing"
"T06",-0.29821388791226,0.345235869501413,8.80382619718567e-05,"Tailing"
"M01",0.29869763720576,-0.000465034106275243,8.80382619718567e-05,"Mining"
"M02",0.298756909802352,-0.000439082498861443,8.80382619718567e-05,"Mining"
"M03",0.298901761687729,-0.000544908136969757,8.80382619718567e-05,"Mining"
"M04",0.298818304599001,-0.00054748376849266,8.80382619718567e-05,"Mining"
"M05",0.298708547352766,-0.000394164708795591,8.80382619718567e-05,"Mining"
"M06",0.298817732284235,-0.000523456639093069,8.80382619718567e-05,"Mining"
"S01",0.29920120676303,-0.000353858995315391,8.80382619718567e-05,"Smelting"
"S02",0.299134995412606,-0.000293368385692926,8.80382619718567e-05,"Smelting"
"S03",0.299031837069823,-0.000244436056352269,8.80382619718567e-05,"Smelting"
"S04",0.299121473938186,-0.000330511803805823,8.80382619718567e-05,"Smelting"
"S05",0.29918247134307,-0.0003766417857191,8.80382619718567e-05,"Smelting"
"S06",0.299046510629727,-0.000297227789815627,8.80382619718567e-05,"Smelting"
