"sample_id","PCoA1","PCoA2","group"
"C01",0.219535078801946,-0.178200883303792,"Control"
"C02",0.224773228727519,-0.189310196774869,"Control"
"C03",0.227495649601306,-0.193327240560174,"Control"
"C04",0.230646618229267,-0.188502740042408,"Control"
"C05",0.23119289654694,-0.19668548829698,"Control"
"C06",0.227116224148531,-0.189348089519856,"Control"
"T01",0.137549959399813,0.244839661116295,"Tailing"
"T02",0.129976618004533,0.236879321769135,"Tailing"
"T03",0.141414540146304,0.244922333139825,"Tailing"
"T04",0.136989506927348,0.241263203536042,"Tailing"
"T05",0.139240874508912,0.240059192584633,"Tailing"
"T06",0.136648368857653,0.24273741360204,"Tailing"
"M01",-0.153877584617581,-0.0209817793618624,"Mining"
"M02",-0.156133210875298,-0.0176642797080062,"Mining"
"M03",-0.166107631451489,-0.0242579204380484,"Mining"
"M04",-0.160442342896772,-0.0231494612714184,"Mining"
"M05",-0.157741147380434,-0.0176027817039801,"Mining"
"M06",-0.161588292876801,-0.0227716769667105,"Mining"
"S01",-0.211825666983929,-0.0331522310377977,"Smelting"
"S02",-0.20318917420573,-0.0302798472844447,"Smelting"
"S03",-0.199338670800219,-0.0282657912947311,"Smelting"
"S04",-0.204114057437203,-0.0306346609337672,"Smelting"
"S05",-0.209410565506929,-0.0355505172285642,"Smelting"
"S06",-0.198811218867688,-0.0310155400205595,"Smelting"
