"","pH","EC","TOC","TN","SO4","NO3","Sb_total","Sb_III","Sb_V","As","Cu"
"pH",1,-0.853913043478261,0.738260869565217,0.78,-0.842608695652174,0.621739130434782,-0.883478260869565,-0.913913043478261,-0.853913043478261,-0.861739130434783,-0.825217391304348
"EC",-0.853913043478261,1,-0.844347826086956,-0.653913043478261,0.845217391304348,-0.718260869565217,0.853913043478261,0.866086956521739,0.858260869565217,0.852173913043478,0.890434782608695
"TOC",0.738260869565217,-0.844347826086956,1,0.682608695652174,-0.800869565217391,0.589565217391304,-0.837391304347826,-0.831304347826087,-0.857391304347826,-0.82,-0.825217391304348
"TN",0.78,-0.653913043478261,0.682608695652174,1,-0.853913043478261,0.528695652173913,-0.880869565217391,-0.865217391304348,-0.886086956521739,-0.84695652173913,-0.792173913043478
"SO4",-0.842608695652174,0.845217391304348,-0.800869565217391,-0.853913043478261,1,-0.692173913043478,0.943478260869565,0.938260869565217,0.932173913043478,0.96695652173913,0.915652173913043
"NO3",0.621739130434782,-0.718260869565217,0.589565217391304,0.528695652173913,-0.692173913043478,1,-0.671304347826087,-0.680869565217391,-0.672173913043478,-0.632173913043478,-0.669565217391304
"Sb_total",-0.883478260869565,0.853913043478261,-0.837391304347826,-0.880869565217391,0.943478260869565,-0.671304347826087,1,0.963478260869565,0.987826086956522,0.929565217391304,0.909565217391304
"Sb_III",-0.913913043478261,0.866086956521739,-0.831304347826087,-0.865217391304348,0.938260869565217,-0.680869565217391,0.963478260869565,1,0.944347826086956,0.925217391304348,0.92
"Sb_V",-0.853913043478261,0.858260869565217,-0.857391304347826,-0.886086956521739,0.932173913043478,-0.672173913043478,0.987826086956522,0.944347826086956,1,0.930434782608695,0.914782608695652
"As",-0.861739130434783,0.852173913043478,-0.82,-0.84695652173913,0.96695652173913,-0.632173913043478,0.929565217391304,0.925217391304348,0.930434782608695,1,0.918260869565217
"Cu",-0.825217391304348,0.890434782608695,-0.825217391304348,-0.792173913043478,0.915652173913043,-0.669565217391304,0.909565217391304,0.92,0.914782608695652,0.918260869565217,1
