"sample_id","K10944","K17218","BMR_COP","BMR_ANT","K00958","K11180","K02003","K07636","FAP001","K01190","K02111","K00370"
"C01",0.16759604,0.0723358,0.05111525,0.04166668,0.06784388,0.05266419,0.08039035,0.0610285,0.14048946,0.12453532,0.08240397,0.05793061
"C02",0.16865468,0.068398,0.04408879,0.04544768,0.08047714,0.05314811,0.08606371,0.06628417,0.12909558,0.11716744,0.07987315,0.06130151
"C03",0.17611027,0.07993874,0.03981622,0.04318529,0.08392037,0.04578867,0.07641653,0.0782542,0.12143951,0.12143951,0.0797856,0.05390506
"C04",0.16782595,0.07414533,0.0528341,0.0472103,0.0779932,0.0501702,0.07621726,0.07251739,0.13023532,0.12313157,0.08006512,0.04765429
"C05",0.17272449,0.07299939,0.04795358,0.04138668,0.08262064,0.04886989,0.08368967,0.07238851,0.1238546,0.12935248,0.07086134,0.05329871
"C06",0.17578186,0.0691727,0.04791249,0.04483132,0.07548913,0.0520721,0.07687568,0.06809427,0.14065628,0.11723925,0.07533507,0.05653983
"T01",0.11486667,0.06504174,0.09453272,0.08672232,0.08052788,0.07958522,0.07971989,0.07352545,0.09695664,0.08106652,0.07689201,0.07056289
"T02",0.1133824,0.06091576,0.07931317,0.0832652,0.0962115,0.07904061,0.09525756,0.07904062,0.09035159,0.07427092,0.06336877,0.0855819
"T03",0.0986279,0.06208396,0.08979759,0.08422768,0.09373727,0.08898247,0.08069556,0.07485395,0.08436354,0.0847711,0.07444641,0.0834126
"T04",0.11301465,0.05982315,0.0816524,0.10154738,0.08842222,0.08179054,0.08648798,0.0719812,0.08151423,0.08524453,0.06023764,0.08828406
"T05",0.09949048,0.06315367,0.09131135,0.08447305,0.0984178,0.07897559,0.0917136,0.07910969,0.08018236,0.08112096,0.06717618,0.0848753
"T06",0.10396307,0.06202497,0.08645496,0.08781217,0.09039087,0.0856406,0.09283388,0.0774973,0.08550488,0.07546145,0.06446798,0.08794788
"M01",0.06077851,0.09742772,0.1174596,0.12189849,0.1076713,0.10482586,0.09845208,0.07853403,0.04541315,0.04427498,0.05429092,0.06897337
"M02",0.0603498,0.1048303,0.11305455,0.10865284,0.10205027,0.11467624,0.09255183,0.08699178,0.04644967,0.04505965,0.05235723,0.07297581
"M03",0.06223464,0.10167597,0.1189944,0.12212292,0.09262569,0.09486034,0.09083799,0.08547486,0.04860335,0.04938547,0.06044694,0.07273742
"M04",0.06187647,0.09203003,0.11994172,0.11971752,0.10761125,0.11086201,0.09135748,0.07689721,0.05021859,0.04282032,0.05683219,0.06983524
"M05",0.06060945,0.09252671,0.12922599,0.12355426,0.09664147,0.115992,0.09197066,0.07284255,0.04470642,0.04426158,0.05593863,0.07173044
"M06",0.06157496,0.09987572,0.11976047,0.12620042,0.09524347,0.10337816,0.08225059,0.08846459,0.04993785,0.04632246,0.05592588,0.07106542
"S01",0.06016535,0.15380018,0.11375635,0.12849886,0.08227912,0.11714314,0.09901386,0.08486901,0.0390477,0.03954576,0.04950692,0.03237375
"S02",0.05047789,0.13620073,0.12684191,0.12694145,0.10981681,0.10941856,0.09050179,0.077957,0.04241339,0.04111907,0.04749104,0.0408204
"S03",0.04936954,0.15033947,0.13220176,0.11745878,0.0971872,0.13084385,0.08525701,0.07604266,0.0414161,0.03724537,0.0456838,0.0369544
"S04",0.04991192,0.13358778,0.12203955,0.12957526,0.10207478,0.10510863,0.09297319,0.08749266,0.03748288,0.04364847,0.0543159,0.04178899
"S05",0.05469364,0.15337785,0.13197172,0.11449331,0.10054987,0.11950117,0.09279262,0.07335036,0.03692065,0.04340141,0.04860565,0.03034171
"S06",0.05049485,0.14562715,0.11290648,0.12906481,0.10523127,0.11129065,0.09755605,0.07473238,0.04281963,0.03686123,0.05917995,0.0342355
