"response","fraction","adjusted_r2","cleaned_adjusted_r2"
"Species community","[a] = X1 | X2+X3",0.0587625449962622,0.0587625449962622
"Species community","[b] = X2 | X1+X3",0.027096761853783,0.027096761853783
"Species community","[c] = X3 | X1+X2",0.010282890031967,0.010282890031967
"Species community","[d]",-0.0418725242360486,0
"Species community","[e]",0.025076810317857,0.025076810317857
"Species community","[f]",0.00215391536710297,0.00215391536710297
"Species community","[g]",0.388670825819781,0.388670825819781
"Species community","[h] = Residuals",0.529828775849296,0.529828775849296
"Functional genes","[a] = X1 | X2+X3",0.0101972747014851,0.0101972747014851
"Functional genes","[b] = X2 | X1+X3",0.0196313459418755,0.0196313459418755
"Functional genes","[c] = X3 | X1+X2",0.00168436674944572,0.00168436674944572
"Functional genes","[d]",-0.00642242390305925,0
"Functional genes","[e]",0.0102481260776124,0.0102481260776124
"Functional genes","[f]",0.00212237573157714,0.00212237573157714
"Functional genes","[g]",0.81634805900012,0.81634805900012
"Functional genes","[h] = Residuals",0.146190875700943,0.146190875700943
