"feature_id","C01","C02","C03","C04","C05","C06","T01","T02","T03","T04","T05","T06","M01","M02","M03","M04","M05","M06","S01","S02","S03","S04","S05","S06"
"ASV001",318,428,396,481,390,357,54,58,80,64,45,57,80,78,58,68,87,80,75,78,60,64,67,79
"ASV002",109,154,102,106,168,166,841,578,750,716,761,652,167,164,167,157,144,137,153,124,129,115,123,160
"ASV003",409,366,305,311,363,332,357,355,339,359,302,347,2633,2176,2044,2267,2523,2007,384,377,351,439,389,346
"ASV004",87,71,61,69,89,78,105,85,75,75,69,72,70,62,82,89,69,85,668,521,510,527,586,631
"ASV005",519,528,583,593,589,471,674,607,475,546,667,596,523,600,579,688,592,542,771,528,694,594,789,582
"ASV006",71,56,87,84,72,82,68,82,70,80,65,82,64,84,80,61,63,87,71,77,67,76,79,60
"ASV007",1720,1844,1725,1377,1758,1772,299,226,259,256,255,253,299,336,257,249,264,251,221,220,288,296,258,299
"ASV008",97,115,104,76,103,104,397,447,448,534,537,449,84,115,130,109,106,101,115,95,108,86,104,116
"ASV009",170,154,128,157,167,122,163,149,145,131,135,163,958,848,872,1006,804,868,141,155,130,148,133,125
"ASV010",237,177,227,226,173,246,181,200,208,217,231,202,222,195,187,208,188,195,1492,1634,1568,1253,1379,1632
"ASV011",446,293,291,375,278,390,343,355,395,388,333,355,383,412,436,414,432,371,426,460,416,369,517,510
"ASV012",105,112,90,101,89,119,94,84,84,92,90,153,100,111,104,90,87,131,122,120,107,93,96,99
"ASV013",1530,2171,2123,1870,1624,2244,286,312,368,389,313,244,393,276,349,332,309,312,339,368,276,376,386,277
"ASV014",381,442,358,386,409,500,1752,2164,1955,1765,1974,1986,462,358,483,433,418,435,414,436,428,488,382,480
"ASV015",135,152,169,115,202,117,181,175,131,177,142,178,825,893,935,955,959,1020,142,148,154,120,141,191
"ASV016",151,177,141,179,117,119,161,148,149,120,138,129,169,156,115,147,118,151,1007,972,1190,939,968,849
"ASV017",122,155,155,150,156,172,157,177,123,129,133,186,185,188,166,164,164,196,207,181,156,183,167,163
"ASV018",56,64,63,47,48,57,51,63,55,51,59,44,61,44,56,47,41,57,42,53,51,40,50,59
"ASV019",1457,1701,1669,1301,1415,1704,246,230,270,266,258,259,218,258,262,209,247,236,219,242,236,205,269,274
"ASV020",76,91,93,91,66,104,401,424,460,333,390,410,90,88,83,82,90,56,74,99,87,88,100,79
"ASV021",162,204,209,201,175,140,158,171,175,183,191,218,1219,1212,1177,1027,1036,1071,196,204,187,152,169,154
"ASV022",361,264,301,333,361,339,252,370,340,404,394,346,284,297,353,296,379,291,2691,2719,2015,2054,2661,2213
"ASV023",699,703,524,592,699,810,777,820,637,595,702,644,812,796,876,686,657,717,896,844,808,762,749,887
"ASV024",19,21,18,24,24,31,20,25,32,31,25,26,19,26,18,31,16,17,25,25,31,23,20,19
"ASV025",1015,1187,1052,987,1056,1091,168,201,204,217,178,181,198,156,197,147,172,161,158,165,191,163,164,194
"ASV026",37,64,38,54,30,56,262,191,294,269,271,320,45,59,53,58,64,49,51,44,40,50,48,43
"ASV027",156,114,115,134,131,149,148,152,128,113,161,141,922,843,785,728,893,876,132,137,138,150,139,138
"ASV028",304,263,331,286,254,285,296,212,288,308,257,352,267,301,220,281,298,344,2110,1913,2048,1710,1965,1887
"ASV029",203,161,205,162,166,178,159,178,164,170,210,178,199,252,186,180,210,156,230,169,220,257,218,177
"ASV030",60,68,62,75,70,82,76,73,71,73,52,74,85,80,92,78,70,58,84,70,62,67,78,73
"ASV031",417,466,444,386,419,429,72,88,95,70,102,83,92,73,94,88,99,103,100,97,60,67,83,60
"ASV032",70,87,59,50,60,86,349,307,327,443,443,427,72,77,59,71,84,70,62,75,73,97,84,61
"ASV033",188,217,140,184,162,177,151,150,130,192,260,151,1252,1175,1014,1376,1195,872,175,193,201,168,157,198
"ASV034",259,301,208,285,294,303,242,285,195,285,246,234,295,245,311,325,260,270,1769,1835,1946,1707,2097,2105
"ASV035",279,386,288,280,340,358,331,388,361,375,362,352,408,375,439,300,404,306,350,448,438,393,305,375
"ASV036",34,27,15,25,19,22,26,25,26,24,17,22,24,23,22,22,17,28,24,19,28,18,19,20
"ASV037",989,778,772,856,761,1028,184,172,162,152,130,130,138,109,122,138,142,165,109,138,176,144,171,117
"ASV038",261,261,322,285,231,229,1113,1334,1441,1274,1333,1502,221,256,230,249,240,316,271,226,208,262,260,314
"ASV039",245,348,336,274,317,265,258,303,227,343,265,308,1529,1982,1462,2021,2041,1729,270,350,322,249,332,328
"ASV040",325,316,346,327,355,313,268,314,341,257,369,244,317,331,285,370,238,311,2401,2513,2314,2127,2482,2187
"ASV041",603,591,547,511,551,603,610,527,625,705,645,496,682,659,755,623,640,632,629,689,658,583,719,562
"ASV042",117,92,114,130,126,132,93,140,83,103,111,107,108,112,93,88,130,116,90,116,108,112,104,104
"ASV043",1505,1063,1172,1176,1441,1195,255,237,266,261,247,189,175,223,225,243,203,282,238,213,280,198,196,208
"ASV044",170,147,163,184,140,139,902,703,660,928,821,779,142,163,149,129,175,149,145,173,195,127,169,169
"ASV045",297,315,247,346,312,300,251,300,291,326,281,296,2084,1771,1605,1831,1499,1616,252,268,305,304,321,296
"ASV046",101,102,117,103,91,113,84,114,84,108,91,100,98,106,120,95,93,128,706,638,641,805,601,819
"ASV047",776,663,593,742,711,748,678,821,843,787,831,643,910,872,758,965,732,759,811,901,906,718,986,670
"ASV048",70,60,75,55,57,53,66,82,72,83,82,83,73,58,62,74,72,74,76,74,68,71,68,55
"ASV049",2303,2260,1757,2226,1949,2144,368,464,408,368,338,313,361,367,398,377,315,348,315,437,342,367,371,386
"ASV050",291,250,247,280,200,190,1203,1335,1483,1206,1423,1068,299,316,242,284,260,225,233,259,226,185,258,229
"ASV051",52,56,57,37,56,44,50,66,42,53,62,65,322,276,270,327,309,279,46,63,71,49,62,54
"ASV052",355,348,362,307,321,335,312,256,282,269,284,292,258,315,274,291,286,271,1850,1835,2069,2313,2017,2484
"ASV053",570,606,685,570,643,663,631,524,588,616,697,684,720,764,688,628,680,668,722,778,641,786,610,794
"ASV054",103,104,116,85,95,76,89,94,122,71,106,138,125,118,123,121,84,85,97,88,108,104,100,106
"ASV055",1414,1667,1160,1242,1206,1461,264,274,273,269,254,224,274,260,244,233,273,254,279,252,234,243,321,289
"ASV056",68,66,51,63,56,74,270,345,391,322,278,310,94,67,57,69,75,64,57,60,55,80,58,78
"ASV057",270,292,192,235,244,250,274,243,284,248,234,203,1382,1423,1582,1235,1528,1206,262,222,230,295,198,227
"ASV058",243,341,305,243,290,378,309,277,299,348,302,263,293,275,338,243,261,310,2217,2336,2144,1927,2317,2272
"ASV059",503,539,617,569,406,407,584,522,619,668,497,652,572,577,522,596,693,666,683,599,756,560,693,600
"ASV060",98,82,88,63,86,80,91,76,89,81,79,86,74,89,79,78,102,68,88,80,89,86,73,102
"ASV061",433,474,427,410,399,404,76,90,82,78,77,67,94,64,87,76,56,68,60,63,78,58,60,69
"ASV062",217,241,237,231,264,247,1075,1352,1145,1391,1347,1310,277,252,210,283,303,241,322,278,292,245,232,221
"ASV063",120,128,146,107,140,103,173,108,113,122,130,124,690,923,911,814,884,846,157,143,119,131,143,139
"ASV064",258,276,270,283,255,209,291,232,307,277,258,222,216,286,222,238,217,318,1566,2018,1735,1635,1557,1757
"ASV065",234,338,316,290,323,263,268,298,345,324,264,361,292,341,256,341,328,355,305,309,394,316,397,419
