"gene_id","feature_id","sample_id","annotation_source","function_category","pathway","ko_id","count","abundance"
"gene_001","ASV008","C01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",68,0.01239519
"gene_001","ASV008","C02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",90,0.01665433
"gene_001","ASV008","C03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",58,0.01071891
"gene_001","ASV008","C04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",78,0.01436993
"gene_001","ASV008","C05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",63,0.01179554
"gene_001","ASV008","C06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",102,0.01986755
"gene_001","ASV008","T01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",105,0.01945525
"gene_001","ASV008","T02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",67,0.01267979
"gene_001","ASV008","T03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",79,0.01490847
"gene_001","ASV008","T04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",85,0.01653053
"gene_001","ASV008","T05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",66,0.01213458
"gene_001","ASV008","T06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",68,0.01248852
"gene_001","ASV008","M01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",64,0.00991787
"gene_001","ASV008","M02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",90,0.01336105
"gene_001","ASV008","M03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",83,0.01249247
"gene_001","ASV008","M04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",68,0.0102626
"gene_001","ASV008","M05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",65,0.00984252
"gene_001","ASV008","M06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",90,0.0140056
"gene_001","ASV008","S01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",87,0.01174089
"gene_001","ASV008","S02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",69,0.00908373
"gene_001","ASV008","S03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",79,0.0105474
"gene_001","ASV008","S04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",59,0.00765041
"gene_001","ASV008","S05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",74,0.00978836
"gene_001","ASV008","S06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",64,0.00862069
"gene_002","ASV096","C01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",31,0.00565075
"gene_002","ASV096","C02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",38,0.00703183
"gene_002","ASV096","C03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",28,0.00517464
"gene_002","ASV096","C04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",32,0.00589536
"gene_002","ASV096","C05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",38,0.00711477
"gene_002","ASV096","C06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",41,0.00798598
"gene_002","ASV096","T01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",51,0.00944969
"gene_002","ASV096","T02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",36,0.00681302
"gene_002","ASV096","T03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",25,0.00471787
"gene_002","ASV096","T04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",24,0.00466744
"gene_002","ASV096","T05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",33,0.00606729
"gene_002","ASV096","T06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",39,0.00716253
"gene_002","ASV096","M01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",32,0.00495893
"gene_002","ASV096","M02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",34,0.00504751
"gene_002","ASV096","M03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",45,0.00677303
"gene_002","ASV096","M04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",43,0.00648959
"gene_002","ASV096","M05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",34,0.00514839
"gene_002","ASV096","M06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",52,0.00809213
"gene_002","ASV096","S01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",38,0.00512821
"gene_002","ASV096","S02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",36,0.00473934
"gene_002","ASV096","S03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",30,0.00400534
"gene_002","ASV096","S04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",35,0.00453838
"gene_002","ASV096","S05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",35,0.00462963
"gene_002","ASV096","S06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",52,0.00700431
"gene_003","ASV094","C01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",76,0.01385345
"gene_003","ASV094","C02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",76,0.01406366
"gene_003","ASV094","C03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",94,0.01737202
"gene_003","ASV094","C04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",73,0.01344878
"gene_003","ASV094","C05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",84,0.01572739
"gene_003","ASV094","C06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",76,0.01480327
"gene_003","ASV094","T01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",173,0.03205485
"gene_003","ASV094","T02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",143,0.02706283
"gene_003","ASV094","T03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",120,0.02264578
"gene_003","ASV094","T04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",151,0.02936601
"gene_003","ASV094","T05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",170,0.03125575
"gene_003","ASV094","T06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",159,0.0292011
"gene_003","ASV094","M01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",189,0.0292887
"gene_003","ASV094","M02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",175,0.02597981
"gene_003","ASV094","M03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",200,0.03010235
"gene_003","ASV094","M04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",234,0.03531542
"gene_003","ASV094","M05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",128,0.01938219
"gene_003","ASV094","M06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",182,0.02832244
"gene_003","ASV094","S01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",272,0.03670715
"gene_003","ASV094","S02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",230,0.03027909
"gene_003","ASV094","S03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",221,0.02950601
"gene_003","ASV094","S04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",244,0.031639
"gene_003","ASV094","S05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",202,0.02671958
"gene_003","ASV094","S06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",209,0.02815194
"gene_004","ASV019","C01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",113,0.02059789
"gene_004","ASV019","C02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",111,0.02054034
"gene_004","ASV019","C03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",114,0.02106819
"gene_004","ASV019","C04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",105,0.01934414
"gene_004","ASV019","C05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",70,0.01310616
"gene_004","ASV019","C06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",92,0.01791975
"gene_004","ASV019","T01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",118,0.021864
"gene_004","ASV019","T02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",192,0.03633611
"gene_004","ASV019","T03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",130,0.02453293
"gene_004","ASV019","T04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",102,0.01983664
"gene_004","ASV019","T05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",172,0.03162346
"gene_004","ASV019","T06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",122,0.02240588
"gene_004","ASV019","M01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",196,0.03037347
"gene_004","ASV019","M02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",262,0.03889549
"gene_004","ASV019","M03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",211,0.03175798
"gene_004","ASV019","M04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",181,0.02731663
"gene_004","ASV019","M05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",132,0.01998789
"gene_004","ASV019","M06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",159,0.02474323
